id,full_name,first_name,last_name,email,phone,country,city,age,gender,membership_years,login_frequency,session_duration_avg,pages_per_session,cart_abandonment_rate,wishlist_items,total_purchases,average_order_value,days_since_last_purchase,discount_usage_rate,returns_rate,email_open_rate,customer_service_calls,product_reviews_written,social_media_engagement_score,mobile_app_usage,payment_method_diversity,lifetime_value,credit_balance,churned,signup_quarter
2010,Heather Meadows,Jonathon,Duke,eileen05@example.net,0564289227,USA,Phoenix,52,Male,2.0,9.0,18.5,7.8,73.1,3.0,10.0,109.68,42.0,18.8,10.4,22.9,3.0,1.0,4.3,12.4,2.0,1055.45,2239.0,0,Q3
2011,Alexander Vincent,Brian,Oconnor,laurenpena@example.org,0953170483,Germany,Hamburg,33,Male,3.8,5.0,23.3,9.7,57.3,3.0,8.0,111.21,34.0,41.4,12.8,21.0,4.0,3.0,21.6,11.9,2.0,1064.73,1672.0,0,Q1
2012,Brett Carpenter,Edwin,Smith,timothy41@example.net,0597945165,Japan,Tokyo,33,Female,7.1,4.0,28.1,6.6,65.6,6.0,8.0,10.91,10.0,43.8,3.4,18.6,5.0,0.0,47.0,15.7,3.0,1001.67,2288.0,0,Q3
2013,Diamond Gross,Justin,Wilson,baileydavid@example.net,0883205932,France,Toulouse,43,Male,3.4,16.0,40.5,9.8,45.3,6.0,23.4,158.72,51.0,25.8,4.7,31.7,1.0,7.0,33.5,26.2,4.0,2978.85,0.0,0,Q4
2014,Tasha Hanson,Brett,Bennett,hwilliams@example.org,0507007293,Germany,Cologne,28,Male,2.3,33.0,44.1,16.1,14.4,3.0,23.0,176.31,4.0,21.1,3.6,40.1,3.0,4.0,77.1,43.8,1.0,357.19,4022.0,0,Q1
2015,Christopher Collins,Richard,Lam,hooversteven@example.org,0872148968,France,Nice,36,Female,2.6,5.0,23.5,9.9,76.4,3.0,9.0,82.78,36.0,12.4,10.1,27.3,6.0,2.0,11.2,9.9,2.0,721.65,891.0,0,Q2
2016,Trevor Martinez,Matthew,Campbell,kimberly90@example.net,0504204853,Australia,Perth,53,Male,1.5,4.0,31.4,8.5,67.0,6.0,12.0,9.63,0.0,23.7,16.4,19.4,9.0,4.0,13.9,27.4,2.0,1084.77,1026.0,0,Q1
2017,Kelly Sanchez,Lee,Rangel,btate@example.com,0869899832,USA,Houston,24,Female,1.3,17.0,35.2,13.0,53.0,4.0,17.0,52.77,4.0,53.8,3.8,29.5,5.0,4.0,43.1,21.0,2.0,839.91,2561.0,0,Q1
2018,Vanessa Costa,Sheila,Kerr,johnbailey@example.com,0510484927,UK,Glasgow,38,Male,2.3,22.0,31.1,6.3,67.9,6.0,13.0,12.15,17.0,67.9,8.2,26.5,5.0,3.0,25.8,28.5,3.0,149.29,3580.0,0,Q1
2019,Roger Curry,Joshua,Nguyen,melinda56@example.org,0330077605,UK,Birmingham,64,Male,0.9,8.0,14.4,9.1,60.7,0.0,7.0,83.76,39.0,39.2,9.5,12.3,7.0,2.0,9.9,3.4,3.0,606.96,1558.0,0,Q2
2020,Laura Perez,David,Farrell,crystal29@example.net,0567537842,Japan,Kyoto,34,Male,2.0,3.0,15.2,6.7,58.1,2.0,5.0,87.29,18.0,26.0,6.9,4.2,7.0,1.0,9.0,11.6,5.0,403.05,1038.0,0,Q2
2021,Amanda Ramsey,Lauren,Price,charles59@example.net,0522004220,USA,Los Angeles,26,Male,1.3,13.0,30.5,8.0,75.7,7.0,13.0,10.22,5.0,92.4,5.9,32.1,4.0,2.0,18.9,26.2,1.0,917.57,2200.0,0,Q4
2022,Charles Jones,Tamara,Gray,kimpayne@example.net,0944073320,Canada,Vancouver,49,Male,7.3,6.0,20.6,4.1,68.0,4.0,12.0,183.92,9.0,22.9,9.8,33.6,5.0,1.0,18.8,23.3,5.0,2597.51,0.0,0,Q2
2023,Robert Smith,Melody,Bautista,padams@example.net,0788327920,USA,Phoenix,52,Female,5.7,16.0,45.1,9.5,40.0,5.0,20.0,68.97,36.0,57.6,11.4,38.8,6.0,7.0,30.3,26.0,1.0,1264.92,2401.0,0,Q1
2024,Jennifer Bailey,Felicia,Haney,sabrina72@example.org,0500453696,Canada,Montreal,44,Male,4.4,6.0,22.3,8.0,68.5,1.0,13.0,111.74,5.0,55.2,7.6,14.5,10.0,3.0,15.7,8.1,2.0,1269.04,1837.0,0,Q4
2025,Robert Mcdonald,Jessica,Andrade,gerald09@example.org,0743307931,Australia,Sydney,43,Male,1.9,11.0,22.2,6.9,49.8,7.0,11.0,10.69,3.0,34.7,7.7,34.9,3.0,2.0,41.8,9.4,1.0,1063.26,3523.0,0,Q3
2026,Jason Bryant,John,Greer,gtaylor@example.com,0975789328,Canada,Calgary,45,Female,0.8,10.0,21.5,6.5,64.1,3.0,10.0,88.83,4.0,93.0,8.6,11.7,11.0,1.0,17.8,12.5,2.0,86.16,1991.0,0,Q1
2027,Laura Vargas,Christina,Riley,qsilva@example.net,0761438502,USA,Los Angeles,23,Female,0.5,12.0,31.1,11.9,56.3,4.0,14.0,111.13,1.0,43.0,1.4,30.6,2.0,3.0,32.5,24.8,1.0,1562.22,870.0,0,Q1
2028,Heather Davis,Courtney,Foster,kayla10@example.com,0553068791,UK,Manchester,18,Male,0.4,6.0,33.0,8.6,44.1,3.0,12.0,78.98,3.0,19.7,11.7,6.1,3.0,5.0,42.2,23.0,1.0,833.78,2987.0,1,Q2
2029,Ashley Wright,Carlos,Patel,michele12@example.org,0819647687,Canada,Ottawa,32,Female,0.5,21.0,27.8,11.8,46.5,5.0,22.0,101.83,7.0,23.6,3.6,28.2,6.0,3.0,34.6,31.7,2.0,2473.76,4853.0,1,Q1
2030,Carolyn Kerr,Marcus,Jennings,brookehicks@example.net,0368334018,Canada,Montreal,35,Female,0.2,14.0,29.2,12.2,55.8,7.0,14.0,8.47,18.0,47.5,4.3,33.0,4.0,7.0,26.4,28.8,3.0,1394.62,2666.0,0,Q1
2031,Carmen Hayes,Gregory,Clark,glennweeks@example.net,0824339906,India,Delhi,48,Male,5.9,2.0,17.1,3.0,64.7,1.0,11.0,104.48,8.0,77.0,7.7,15.0,7.0,1.0,41.3,0.0,3.0,123.38,202.0,0,Q1
2032,Mr. Aaron Hutchinson,April,Rhodes,richardhall@example.net,0808459206,USA,Chicago,40,Female,2.2,10.0,16.4,7.3,51.3,1.0,10.0,87.71,5.0,56.8,11.0,24.8,10.0,2.0,18.7,22.2,4.0,1012.93,3235.0,0,Q3
2033,James Robinson,Karen,Powers,james67@example.net,0875387064,Australia,Melbourne,41,Female,3.5,14.0,35.0,9.2,58.7,8.0,15.0,106.95,78.0,63.6,1.4,37.4,3.0,6.0,62.6,21.1,5.0,1823.43,1549.0,0,Q2
2034,Jeremy Hill,Alexa,Lee,juliepierce@example.com,0782750358,USA,Chicago,19,Female,2.2,24.0,43.7,11.4,51.7,7.0,22.0,110.78,29.0,22.2,6.6,31.9,4.0,7.0,63.8,30.8,3.0,289.28,3618.0,1,Q1
2035,George Obrien,Paul,Brown,richardperez@example.org,0733725628,Germany,Berlin,35,Male,0.7,14.0,26.7,12.4,57.7,9.0,11.0,188.36,8.0,47.7,1.0,25.1,2.0,4.0,41.8,24.8,2.0,2096.83,2937.0,0,Q2
2036,Michael Cherry,Ronald,Young,dbush@example.net,0850419414,USA,Phoenix,30,Male,3.8,22.0,28.1,11.6,42.2,6.0,14.0,89.46,55.0,46.7,1.7,45.7,3.0,7.0,45.1,22.4,4.0,1053.84,2430.0,0,Q1
2037,Frederick Collins,Jacqueline,James,maryclark@example.org,0890411797,UK,Leeds,40,Female,1.0,25.0,43.5,12.1,40.1,4.0,16.0,101.93,49.0,18.1,6.8,32.4,3.0,4.0,13.6,16.6,1.0,1362.12,2565.0,0,Q2
2038,Denise Hall,Elizabeth,Brown,ronald73@example.org,0322483411,Germany,Munich,49,Female,1.0,11.0,19.5,9.1,63.1,2.0,16.0,90.34,25.0,7.9,12.0,6.7,8.0,3.0,9.8,6.4,1.0,1272.71,2136.0,0,Q1
2039,Amber Fuller,Edwin,Adkins,brooke34@example.com,0984627387,Japan,Yokohama,23,Female,0.1,7.0,25.6,8.0,69.4,1.0,11.0,149.21,0.0,56.7,3.0,35.6,5.0,2.0,36.8,12.6,2.0,1698.42,2317.0,0,Q3
2040,Tammy Oneal,Rebecca,Woods,nwells@example.org,0320715438,USA,Phoenix,53,Female,2.3,3.0,15.3,3.2,73.2,1.0,6.0,42.81,36.0,31.8,2.9,7.7,6.0,0.0,2.3,9.2,2.0,245.45,0.0,1,Q3
2041,Patricia Sawyer,Brett,Thompson,pamelareed@example.org,0577076562,India,Bangalore,28,Female,2.2,4.0,17.1,5.0,80.4,2.0,7.0,56.26,36.0,56.5,6.3,1.3,10.0,0.0,13.8,11.5,5.0,415.85,2826.0,1,Q2
2042,Jordan Wiley MD,Mark,Phelps,matthewsstephanie@example.com,0756071463,India,Delhi,37,Female,2.2,16.0,43.9,13.4,36.8,10.0,20.0,62.09,14.0,41.2,3.8,26.3,4.0,6.0,58.3,25.2,1.0,1144.89,3217.0,0,Q2
2043,Lindsey Mathews,Thomas,White,levyrichard@example.org,0750148647,India,Delhi,29,Male,2.0,19.0,35.8,10.3,58.4,2.0,14.0,151.76,4.0,4.8,7.6,30.2,4.0,1.0,36.6,26.7,2.0,1865.16,2490.0,0,Q2
2044,Jamie Todd,Jennifer,Herring,catherine29@example.com,0899697305,USA,Houston,22,Male,7.2,11.0,20.2,7.4,51.6,3.0,15.0,99.23,24.0,29.0,9.1,26.0,3.0,1.0,34.5,19.2,2.0,1625.77,2306.0,1,Q2
2045,Randall Howard,Valerie,Stafford,elizabeth77@example.net,0708380903,USA,Chicago,18,Male,2.1,0.0,24.5,11.1,58.7,1.0,15.6,182.39,29.0,39.0,3.7,2.7,5.0,3.0,7.5,17.8,1.0,1972.23,3993.0,0,Q4
2046,Kenneth Young,Kimberly,Watson,qramirez@example.net,0743690018,USA,Houston,28,Male,1.5,0.0,19.0,3.1,86.3,0.0,8.0,171.66,45.0,69.5,1.7,8.1,7.0,1.0,0.0,5.7,3.0,1635.29,2746.0,1,Q3
2047,Alexandria Wood,Ryan,Torres,alexandershelton@example.org,0891285722,USA,Los Angeles,54,Male,0.9,11.0,36.1,9.4,47.0,4.0,10.0,115.47,35.0,17.5,1.4,12.4,4.0,0.0,29.5,21.2,1.0,949.64,0.0,1,Q3
2048,Sean Rodriguez,David,Howard,tamibrown@example.net,0935418957,UK,London,55,Male,2.5,4.0,30.4,5.7,55.3,3.0,11.0,78.17,11.0,58.1,9.0,36.2,10.0,7.0,33.3,18.5,2.0,746.17,1963.0,0,Q1
2049,Sonia Allen,Robert,Williams,umcgee@example.net,0530916245,Canada,Calgary,26,Male,3.5,14.0,33.8,10.4,45.8,5.0,23.4,99.59,1.0,85.8,7.9,42.5,4.0,3.0,25.5,31.7,1.0,1797.76,3084.0,0,Q4
2050,Dale Newton,John,Hill,kimberly09@example.org,0398140619,Germany,Frankfurt,33,Female,0.2,7.0,28.5,6.5,75.1,2.0,6.0,63.17,28.0,23.8,4.3,2.6,4.0,2.0,12.1,13.8,2.0,366.65,967.0,0,Q2
2051,Kelly Larson,Katherine,Smith,william59@example.org,0786764395,UK,Manchester,35,Male,1.1,12.0,23.1,7.4,55.0,3.0,10.0,94.38,11.0,20.9,7.8,21.9,7.0,3.0,26.7,23.5,2.0,914.16,1837.0,0,Q2
2052,James Allen,Melissa,Williams,cordovadeborah@example.net,0704189285,Canada,Ottawa,50,Male,2.7,12.0,30.8,9.2,31.1,4.0,18.0,148.58,43.0,29.0,1.5,31.6,3.0,7.0,39.2,32.4,2.0,2761.06,2357.0,0,Q3
2053,Julia White,Laura,Ramirez,mooresheila@example.net,0837135076,Australia,Sydney,57,Male,1.9,15.0,24.2,12.4,59.6,5.0,14.0,138.73,5.0,24.4,10.3,24.5,4.0,4.0,18.2,16.6,1.0,1771.13,3127.0,0,Q3
2054,Andrew Lee,Ricardo,Douglas,ricenatalie@example.com,0353655991,Canada,Calgary,20,Male,2.8,13.0,19.8,5.4,53.5,1.0,16.0,108.27,2.0,64.0,5.3,10.4,7.0,3.0,11.3,19.9,3.0,1526.23,311.0,0,Q2
2055,Joseph Sandoval,Richard,Hernandez,loriryan@example.com,0580429392,Japan,Kyoto,55,Male,1.1,13.0,38.5,12.4,50.5,8.0,14.0,13.58,38.0,25.8,8.0,32.0,6.0,6.0,35.1,32.1,3.0,2252.88,1478.0,1,Q3
2056,Kim Crosby,Tamara,Perez,robertsoto@example.org,0544682306,Canada,Ottawa,55,Female,4.2,5.0,18.5,8.6,80.1,2.0,10.0,106.83,56.0,8.6,2.0,1.2,4.0,3.0,35.6,18.3,3.0,97.81,2091.0,1,Q3
2057,Lori Graham,Cody,Gutierrez,courtney52@example.org,0372821841,UK,Leeds,44,Male,2.4,19.0,37.9,9.7,43.9,5.0,15.0,154.19,8.0,29.2,5.5,24.6,2.0,2.0,52.6,23.1,1.0,2444.78,3155.0,0,Q1
2058,Justin Snow,James,Werner,dsmith@example.net,0716427653,UK,Birmingham,39,Male,2.5,8.0,30.1,10.8,59.8,2.0,7.0,189.18,37.0,37.5,6.9,30.3,6.0,2.0,6.0,18.5,2.0,1097.48,2488.0,0,Q3
2059,Willie Vincent,George,Thompson,connieschmidt@example.net,0834579388,Japan,Tokyo,31,Female,1.4,7.0,24.8,6.3,68.6,3.0,10.0,196.04,2.0,21.5,3.4,12.5,3.0,2.0,44.1,11.8,2.0,2211.07,2532.0,0,Q3
2060,Pamela Diaz,Kristen,Flynn,dclark@example.org,0992740153,USA,Chicago,38,Male,1.8,14.0,30.8,11.8,44.6,3.0,18.0,129.24,6.0,36.3,1.8,12.7,7.0,1.0,33.7,23.2,1.0,1964.66,2631.0,1,Q2
2061,Sarah Patton,Michael,Rogers,stanley40@example.net,0833794626,USA,Los Angeles,23,Female,3.2,14.0,35.0,7.7,59.7,5.0,13.0,117.72,19.0,65.2,5.9,22.7,3.0,6.0,38.3,32.3,4.0,1754.63,2293.0,0,Q1
2062,Clayton Macias,Dawn,Castro,johnsonmatthew@example.net,0594273033,UK,Manchester,33,Female,1.9,19.0,42.9,8.9,39.4,5.0,21.0,140.99,44.0,10.1,17.0,30.5,2.0,6.0,43.8,29.3,2.0,297.22,2925.0,0,Q1
2063,Luke Wilson,Cynthia,Fisher,timothy95@example.org,0701902901,France,Lyon,51,Female,1.9,7.0,16.4,4.4,75.3,0.0,8.0,156.51,29.0,66.1,3.7,5.5,5.0,0.0,4.1,1.8,1.0,1264.59,2308.0,0,Q3
2064,Jose Weaver,Denise,Roberts,scottsellers@example.com,0582777975,USA,Chicago,18,Female,2.1,10.0,27.0,10.2,58.8,4.0,11.0,126.52,34.0,61.3,1.3,17.3,5.0,2.0,54.6,21.0,2.0,1629.91,1337.0,0,Q1
2065,Dana Garcia,Victoria,Robertson,caitlinhuynh@example.net,0519760834,France,Marseille,44,Female,0.5,23.0,48.0,16.2,42.3,12.0,20.0,123.47,0.0,11.6,3.8,44.5,4.0,6.0,73.6,35.9,2.0,279.69,2859.0,0,Q3
2066,William Haynes,Patrick,Jones,ashley38@example.org,0846624826,USA,Chicago,37,Female,6.4,15.0,25.7,10.2,69.9,3.0,11.0,83.05,26.0,62.7,3.5,28.2,6.0,3.0,44.4,27.4,2.0,768.97,1763.0,0,Q2
2067,April Dunlap,Sarah,Watkins,clarson@example.org,0876898748,Canada,Toronto,45,Female,4.6,15.0,30.5,8.7,53.6,5.0,11.0,90.67,26.0,30.3,8.5,19.9,8.0,3.0,24.9,14.7,2.0,990.71,2475.0,0,Q1
2068,Marissa Pearson,Kelly,Kaufman,michael24@example.org,0566527068,UK,Birmingham,30,Female,1.1,16.0,34.3,5.7,56.6,8.0,14.0,140.03,25.0,36.9,14.2,5.8,7.0,2.0,24.3,8.0,3.0,1911.99,176.0,1,Q3
2069,Ashley Yang,Larry,Carlson,susan93@example.net,0350423275,India,Delhi,60,Male,4.9,12.0,37.5,9.9,62.3,6.0,18.0,9.68,86.0,23.8,4.3,26.7,11.0,2.0,52.7,23.6,1.0,1901.03,3399.0,1,Q1
2070,Robert Owen,Kathryn,Johnson,jacobwalker@example.org,0575147508,Australia,Melbourne,31,Female,0.4,10.0,33.4,9.0,63.5,8.0,9.0,22.53,11.0,48.3,0.7,14.6,2.0,5.0,21.2,20.2,3.0,1803.56,2552.0,0,Q1
2071,Jennifer Elliott,Christopher,Gonzales,phernandez@example.com,0528722172,India,Delhi,40,Female,4.3,7.0,27.0,8.2,64.9,3.0,11.7,65.25,16.0,15.6,2.6,8.8,6.0,3.0,14.1,16.9,2.0,640.52,1093.0,0,Q4
2072,Karen Quinn,David,Harmon,jessica39@example.net,0910446078,Germany,Frankfurt,39,Female,4.1,4.0,17.8,2.4,56.3,1.0,11.0,93.66,17.0,30.6,4.2,0.0,8.0,0.0,27.4,17.6,2.0,928.21,1422.0,0,Q1
2073,Emily Jackson,Kayla,Espinoza,rebecca76@example.net,0895837530,Australia,Brisbane,55,Female,1.5,9.0,32.4,11.8,58.1,6.0,23.0,76.63,32.0,67.3,3.0,15.7,5.0,6.0,47.6,24.8,4.0,1713.31,2016.0,0,Q1
2074,Joseph Willis,Mathew,Anderson,mark81@example.com,0978113462,Germany,Berlin,36,Female,0.3,13.0,33.2,10.6,39.8,9.0,14.0,143.28,72.0,16.8,7.1,22.9,5.0,4.0,7.6,20.6,2.0,2028.29,3303.0,0,Q1
2075,Cynthia Sexton,Robert,Mckinney,carl25@example.org,0778826970,India,Mumbai,25,Other,0.7,28.0,49.6,15.5,41.7,7.0,23.0,66.49,13.0,46.7,6.7,41.1,4.0,4.0,26.8,39.9,2.0,1797.66,3373.0,0,Q2
2076,Angela Miller MD,Michael,Gonzalez,umacias@example.org,0728601262,Germany,Cologne,24,Male,0.8,0.0,5.2,3.0,75.5,0.0,5.0,11.71,28.0,9.6,12.2,3.3,4.0,0.0,0.0,2.0,4.0,642.15,278.0,1,Q1
2077,Robert Moses,Rebecca,Williams,wkirby@example.com,0524954208,USA,Chicago,30,Male,1.4,20.0,33.0,8.9,49.6,1.0,15.0,12.64,6.0,22.6,5.2,24.0,5.0,0.0,40.4,7.5,2.0,2179.39,0.0,0,Q1
2078,Bruce Marshall,Travis,Thomas,jason61@example.net,0388019759,USA,Phoenix,29,Female,2.0,16.0,14.6,6.3,76.7,3.0,9.0,7.54,28.0,17.5,3.3,9.8,7.0,3.0,15.5,14.7,2.0,772.83,146.0,0,Q2
2079,Nicholas Ward,Victoria,Blackwell,ghudson@example.net,0385408578,France,Nice,55,Female,0.7,20.0,13.2,1.3,69.9,1.0,5.0,86.42,15.0,63.0,3.4,0.0,3.0,1.0,24.7,10.6,2.0,46.91,963.0,0,Q1
2080,Jessica Ortiz,Randy,Holland,markallen@example.net,0750694087,France,Lyon,49,Female,1.5,8.0,27.9,9.9,75.1,7.0,13.0,91.85,42.0,69.9,3.1,18.8,3.0,6.0,41.5,23.4,2.0,1200.62,2359.0,0,Q1
2081,Adrian Romero,Aimee,Fernandez,april84@example.org,0728121096,Australia,Brisbane,56,Male,0.5,20.0,49.0,15.6,34.4,11.0,21.0,124.35,27.0,62.2,1.1,49.8,4.0,6.0,51.7,36.6,3.0,3110.23,4326.0,0,Q1
2082,Kathleen Olson,Kristi,Bradshaw,qwhite@example.org,0524574639,USA,New York,18,Male,2.9,3.0,10.6,5.6,70.1,0.0,1.0,129.63,54.0,40.5,3.7,0.0,10.0,0.0,6.3,6.6,2.0,145.68,717.0,1,Q3
2083,Barbara Cobb,Charles,King,nathaniel83@example.com,0840828099,USA,Houston,39,Female,0.2,11.0,44.3,8.5,36.0,5.0,16.0,157.53,34.0,18.9,1.1,31.3,4.0,5.0,46.2,31.3,2.0,2902.47,2822.0,0,Q3
2084,Steven Mendez,Jonathan,Fields,sjohnson@example.org,0506800566,UK,London,28,Female,2.3,21.0,40.5,6.6,57.7,5.0,19.0,169.52,37.0,52.5,1.6,27.2,6.0,1.0,52.9,23.3,1.0,2840.41,3613.0,1,Q1
2085,Stephanie Alexander,Jessica,Sullivan,greenekeith@example.com,0594883690,Canada,Vancouver,44,Female,4.9,11.0,29.2,3.8,45.8,2.0,8.0,65.98,76.0,27.9,8.6,19.9,4.0,2.0,0.0,21.5,2.0,497.92,93.0,0,Q3
2086,Michael Leonard,Jennifer,Dorsey,kscott@example.org,0558526907,USA,Houston,34,Male,0.7,4.0,30.1,6.8,66.5,6.0,14.0,10.94,48.0,44.0,4.2,11.6,6.0,1.0,11.5,26.9,1.0,145.39,879.0,0,Q2
2087,Andrea Gray,Sylvia,Bowers,nicholas00@example.net,0864258870,Canada,Toronto,33,Female,4.4,9.0,23.0,9.0,50.5,2.0,11.0,94.19,21.0,16.0,2.4,15.0,6.0,2.0,30.8,23.6,3.0,1180.55,1730.0,0,Q1
2088,Elizabeth Hill,Ernest,Martinez,davispatricia@example.com,0717501314,USA,Phoenix,27,Male,1.4,14.0,50.9,14.3,60.0,9.0,15.0,171.18,10.0,25.4,2.4,13.8,2.0,5.0,41.2,20.8,1.0,2431.98,3308.0,0,Q3
2089,Michael Caldwell,Valerie,Owens,morrisdylan@example.net,0932405178,Germany,Frankfurt,18,Female,4.9,18.0,33.3,9.5,49.8,2.0,11.0,94.87,15.0,67.1,9.9,17.9,6.0,1.0,34.1,22.6,1.0,1083.51,3156.0,0,Q3
2090,James Perez,Kevin,Santana,melaniesantos@example.com,0711572484,UK,Glasgow,42,Male,5.6,11.0,23.1,11.6,58.5,7.0,8.0,128.41,44.0,22.3,4.9,17.7,10.0,4.0,9.1,21.2,3.0,1029.82,2645.0,0,Q3
2091,Nicholas Martinez,Jeremy,Boyd,npadilla@example.org,0815688544,USA,Houston,38,Female,2.2,9.0,26.8,6.7,57.3,7.0,16.0,152.45,3.0,8.9,4.8,18.0,9.0,1.0,26.7,19.0,4.0,2208.57,3174.0,1,Q2
2092,Jennifer Pearson,Michael,Harris,mariah08@example.org,0963312404,France,Toulouse,52,Female,4.1,0.0,4.5,3.6,78.7,0.0,3.0,118.28,19.0,23.3,4.6,0.0,9.0,0.0,0.0,3.6,2.0,403.29,859.0,1,Q3
2093,Laurie Mathews,Robert,Garcia,kristinecasey@example.net,0322753300,USA,Houston,38,Female,3.9,8.0,32.2,9.0,51.0,2.0,15.0,58.21,87.0,16.1,7.5,29.2,3.0,2.0,39.6,13.2,1.0,87.05,2225.0,0,Q2
2094,Lisa Farley,Anna,Gallagher,andrew01@example.net,0585970673,India,Mumbai,38,Male,0.9,7.0,20.2,9.1,66.2,5.0,14.0,91.39,9.0,51.2,2.5,24.7,7.0,4.0,24.4,26.7,5.0,1036.21,0.0,0,Q1
2095,Michelle Thomas,Frank,Ward,beverlywalker@example.com,0872168126,Canada,Ottawa,41,Male,2.0,15.0,22.5,7.4,44.2,3.0,11.0,88.29,25.0,50.6,11.3,32.2,4.0,0.0,39.9,19.0,2.0,912.18,3488.0,0,Q1
2096,Maria Wood,Timothy,Lucas,ycunningham@example.net,0557800317,Japan,Yokohama,33,Male,2.3,23.0,32.3,12.0,55.6,4.0,15.0,174.45,9.0,69.9,4.2,51.1,3.0,1.0,54.4,29.9,2.0,3035.34,2475.0,0,Q1
2097,Joshua Jackson,William,Hooper,adavis@example.net,0811133773,USA,Phoenix,46,Male,5.1,15.0,33.7,7.1,53.0,2.0,12.0,148.61,17.0,16.8,5.8,14.7,4.0,6.0,39.7,27.5,1.0,1726.12,4047.0,0,Q3
2098,Derrick Brown,Laura,Hayes,john13@example.net,0756616027,USA,Phoenix,46,Female,2.8,2.0,17.9,5.6,59.8,4.0,7.0,82.79,26.0,62.6,10.8,11.5,5.0,2.0,11.6,2.1,5.0,468.56,1743.0,0,Q1
2099,Joel Robles,Jose,Smith,spierce@example.com,0752942730,Australia,Perth,28,Male,4.9,19.0,27.6,8.9,52.1,2.0,16.0,88.74,58.0,22.3,3.2,24.9,6.0,4.0,34.6,15.3,3.0,1541.81,3116.0,0,Q1
2100,Justin Brooks,Dustin,Williams,jordanemma@example.net,0809024506,Australia,Brisbane,49,Male,0.6,7.0,30.3,9.4,54.0,3.0,14.0,102.36,34.0,75.1,2.2,25.4,4.0,1.0,19.8,20.1,4.0,1324.63,1940.0,0,Q1
2101,Gina Garrison,Rachel,Torres,benjamin40@example.net,0570779747,USA,Phoenix,41,Female,2.8,0.0,14.6,7.2,83.0,0.0,6.0,176.35,8.0,58.8,2.5,1.7,9.0,0.0,0.0,6.3,1.0,963.55,980.0,1,Q3
2102,Joshua Carter,Julie,Carter,tjohnson@example.net,0956795482,USA,Houston,59,Female,0.9,23.0,21.7,7.8,65.7,5.0,9.0,57.03,63.0,17.4,11.0,0.0,11.0,1.0,8.1,20.1,3.0,600.71,588.0,0,Q3
2103,Jennifer Thompson,Patricia,Meyers,christinalynch@example.org,0567433858,USA,Phoenix,43,Male,2.5,19.0,28.4,10.9,69.9,1.0,28.0,6.37,31.0,19.2,1.4,28.0,5.0,4.0,33.8,26.4,2.0,1664.32,1802.0,1,Q1
2104,Sandra Cain,Jennifer,Anderson,lisa38@example.org,0336492846,USA,Los Angeles,21,Male,1.2,10.0,17.3,8.1,83.9,2.0,10.0,148.82,42.0,11.1,14.8,23.9,8.0,2.0,28.7,10.2,1.0,1731.47,1063.0,1,Q2
2105,Joshua Kelly,Omar,Davis,garrett89@example.org,0308456601,USA,Los Angeles,25,Female,2.0,12.0,27.3,8.3,54.0,2.0,13.0,137.08,1.0,26.9,7.7,11.5,5.0,4.0,37.1,17.4,3.0,2014.14,2847.0,0,Q3
2106,Richard Davis MD,Kaitlyn,Thompson,mcphersonwilliam@example.org,0501708278,USA,New York,26,Male,1.0,7.0,23.8,1.9,73.2,3.0,7.0,131.02,0.0,12.0,3.5,38.3,3.0,4.0,0.0,10.4,3.0,1054.44,0.0,0,Q2
2107,Ethan Hart,Meghan,Farley,kerrilarson@example.org,0888408715,Japan,Kyoto,43,Male,5.1,6.0,24.9,3.2,60.7,0.0,9.0,20.11,10.0,35.9,4.1,10.8,4.0,0.0,2.3,8.5,3.0,1860.68,663.0,1,Q3
2108,Gregory Levy,Christy,Levine,nsanchez@example.net,0930688862,Australia,Melbourne,51,Male,2.3,7.0,12.9,7.5,85.4,0.0,4.0,80.33,6.0,75.3,9.1,27.6,4.0,0.0,11.4,9.6,4.0,26.01,486.0,0,Q1
2109,Thomas Murray,Michael,Nolan,nancy38@example.net,0955263278,USA,Los Angeles,59,Male,3.7,12.0,27.3,9.6,53.0,0.0,10.0,91.98,27.0,61.7,11.0,11.1,4.0,0.0,25.9,12.3,1.0,739.66,1903.0,0,Q2
2110,Robert Clark,Shelby,Aguilar,john12@example.com,0770189854,France,Toulouse,38,Female,1.3,11.0,30.1,7.3,67.0,5.0,9.0,13.34,8.0,72.2,2.4,31.2,7.0,1.0,11.2,21.4,2.0,1308.12,1899.0,0,Q3
2111,Michelle Greene,Lauren,Hall,michaelyoung@example.org,0816554497,Japan,Yokohama,37,Male,4.5,19.0,40.7,13.3,41.3,10.0,20.8,131.17,49.0,84.6,8.4,36.5,3.0,4.0,53.8,23.0,2.0,2429.17,1474.0,0,Q4
2112,Amy Crawford,Christina,Anderson,oliviamason@example.org,0350015724,USA,Los Angeles,24,Female,1.3,2.0,28.5,5.4,60.6,2.0,7.0,218.23,34.0,43.8,4.3,18.5,5.0,2.0,23.9,13.2,3.0,1353.81,743.0,0,Q2
2113,John Perez,Heather,Frazier,xalexander@example.org,0728459896,Canada,Calgary,46,Male,2.7,8.0,27.0,11.1,49.8,3.0,12.0,114.58,33.0,45.4,17.3,20.6,5.0,1.0,29.8,12.6,4.0,1358.44,2155.0,0,Q3
